a.	<disp>adjectif</disp>
a. v.	<disp>adjectif verbal</disp>
abs.	<disp>absolutif</disp>
abl.	<disp>ablatif</disp>
acc.	<disp>accusatif</disp>
act.	<disp>actif (voix active)</disp>
adv.	<disp>adverbe</disp>
ag.	<disp>nom d’agent </disp>
aor.	<disp>aoriste</disp>
bouddh.	<disp>bouddhique</disp>
caus.	<disp>causatif</disp>
cf.	<disp>confer</disp>
coll.	<disp>collectif</disp>
comp.	<disp>composé, composition (ne s’emploie que dans un composé)</disp>
compar.	<disp>comparatif</disp>
conj.	<disp>conjonction</disp>
dat.	<disp>datif</disp>
dén.	<disp>dénominatif</disp>
dés.	<disp>désidératif</disp>
désign.	<disp>désignation</disp>
dim.	<disp>diminutif</disp>
dimin.	<disp>diminutif</disp>
du.	<disp>duel</disp>
encl.	<disp>enclitique</disp>
err.	<disp>de façon erronée</disp>
euphém.	<disp>euphémisme</disp>
exclam.	<disp>exclamation/exclamatif</disp>
ép.	<disp>épithète</disp>
f.	<disp>féminin</disp>
fig.	<disp>au figuré</disp>
flex.	<disp>flexion</disp>
fut.	<disp>futur.</disp>>
fut. périphr.	<disp>futur périphrastique</disp>
gén.	<disp>génitif</disp>
génér.	<disp>général/généralement</disp>
gramm.	<disp>grammaire (vocabulaire des grammairiens indiens)</disp>
ibid.	<disp>ibidem</disp>
id.	<disp>idem</disp>
ifc.	<disp>in fine compositi : s’emploie aussi ou uniquement comme dernier membre d’un composé</disp>
iic.	<disp>in initio compositi : s’emploie aussi ou uniquement comme premier membre d’un composé</disp>
impér.	<disp>impératif</disp>
impers.	<disp>impersonnel</disp>
impf.	<disp>imparfait</disp>
indécl.	<disp>indéclinable</disp>
ind.	<disp>indéclinable</disp>
indéf.	<disp>indéfini</disp>
inf.	<disp>infinitif</disp>
instr.	<disp>instrumental</disp>
int.	<disp>intensif</disp>
interj.	<disp>interjection</disp>
interr.	<disp>interrogatif</disp>
KSS.	<disp>Kathāsaritsāgara</disp>
loc.	<disp>locatif</disp>
m.	<disp>masculin</disp>
mauv.	<disp>[mauvaise]</disp>
métron.	<disp>métronyme</disp>
MhBh.	<disp>Mahābhārata</disp>
moy.	<disp>moyen (voix moyenne)</disp>
n.	<disp>nom</disp>
nég.	<disp>négation/négatif</disp>
not.	<disp>notamment</disp>
nomin.	<disp>nominatif.</disp>>
nom.	<disp>nominatif.</disp>>
num.	<disp>numéral</disp>
nt.	<disp>neutre</disp>
onom.	<disp>onomatopée</disp>
onomat.	<disp>onomatopée</disp>
ord.	<disp>ordinairement</disp>
partic.	<disp>participe</disp>
pass.	<disp>passif</disp>
patron.	<disp>patronymique</disp>
personn.	<disp>personnifié</disp>
pft.	<disp>parfait</disp>
philos.	<disp>philosophique (langue)</disp>
pl.	<disp>pluriel</disp>
préf.	<disp>préfixe</disp>
prép.	<disp>préposition</disp>
prév.	<disp>préverbe</disp>
pronom.	<disp>pronom, pronominal</disp>
pron.	<disp>pronom, pronominal</disp>
propr.	<disp>proprement</disp>
qq.	<disp>quelque</disp>
qqch.	<disp>quelque chose</disp>
qqf.	<disp>quelquefois</disp>
qq'un	<disp>quelqu’un</disp>
rar.	<disp>rarement</disp>
Rām.	<disp>Rāmāyana</disp>
rhét.	<disp>rhétorique</disp>
rel.	<disp>relatif</disp>
relat.	<disp>relatif</disp>
sg.	<disp>singulier</disp>
skt	<disp>sanskrit</disp>
souv.	<disp>souvent</disp>
suiv.	<disp>le mot ou l’entrée suivante</disp>
sup.	<disp>superlatif</disp>
s. v.	<disp>sub vocabulo [voir/sous ce/le terme]</disp>
Up.	<disp>Upaniṣad</disp>
v.	<disp>voir</disp>
v. s.	<disp>voir sous</disp>
v. s. v.	<disp>voir sous ce(s)/voir sous le(s) terme(s)</disp>  <olddisp>[« voir sous ce(s) terme(s) » ou « voir sous le(s) terme(s)… »]</olddisp>
var.	<disp>variante</disp>
v. l.	<disp>[varia lectio] variante</disp>
véd.	<disp>védique</disp>
voc.	<disp>vocatif</disp>
