Ā. L.	Ānandalaharī.
Māṇḍ.	Māṇḍūkyopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Mārk. P.	Mārkaṇḍeya Purāṇa.
Mātaṅga L.	Mātaṅgalīlā of Nīlakaṇṭha.
Mb.	Mahābhārata, (चित्रशाळा, पुणें , १९२९-३३).
Mbh.	Mahābhāṣya, (Bombay).
Me.	Meghadūta, (R. D. Karmarkar, 1938).
Med.	Medinīkośa.
Mīm.	Mīmāṃsā.
Mitā.	Mitākṣarā, (Bombay).
Mk.	Mṛcchakaṭikā, (R. D. Karmarkar, 1937).
Moha M.	Mohamudgara.
Ms.	Manusmṛti, (J. M. Gurjar, Bombay, 1894).
Mu.	Mudrārākṣasa, (Royal Book Stall, Poona, 1948).
Mugdha.	Mugdhabodha.
Muktā.	Siddhāntamuktāvalī.
Muṇḍ.	Muṇḍakopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Mv.	Mahāvīracarita, (Nirṇaya Sāgara, 1926).
N.	Naiṣadhacarita, (Nirṇaya Sāgara, 1933).
Nāg.	Nāgānanda.
Naigh.	Naighaṇṭuka by Yāska.
Nala.	Nalopākhyāna, (Bombay).
Nalod.	Nalodaya.
Nigh. Ratn.	Nighaṇṭa-Ratnākara.
Nir.	Nirukta.
Nīti.	Nītisāra.
Nītipra.	Nītipradīpa.
Nm.	Nānārthamañjarī of Rāghava.
Nṛ. P. Up.	Nṛsiṃhapūrvatāpinyupaniṣad.
P.	Pāṇiniʼs Aṣṭādhyāyī.
P. P.	Pārvatīpariṇaya.
P. R.	Prasannarāghava.
Pad. D.	Padāṅkadūta.
Pañch.	Pañcarātra.
Pari. Śekh.	Paribhāṣeṇḍūśekhara.
Pbh.	Paribhāṣeṇḍūśekhara.
Parṇāl.	Parṇālaparvatagrahaṇākhyāna.
Pb.	Paribhāṣā.
Prab.	Prabodhacandrodaya, (Bombay).
Pradīp.	Mahābhāṣya-Pradīpa (Kaiyaṭa).
Praśna.	Praśnopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Praśna. Up.	Praśnopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Pratijñā.	Pratijñā Yaugandharāyaṇa.
Priy. D.	Priyadarśikā.
Pś.	Pāṇinīya Śikṣā.
PS.	Pāṇinīya Sūtra.
Pt.	Pañcatantra. Chap, I, IV, V, (आर्यभूषण प्रेस, पुणें  १८९३); Chap. II and III, (Oriental Publishing Company, Bombay, 1912).
Pur. Pv.	Puruṣottama-Paribhāṣāvṛtti.
R.	Raghuvaṃśa, (R. A. Sagoon, Bombay 1897).
R. G.	Rasagaṅgādhara, (Prof. R. B. Athavale).
Ṛ. S.	Ṛtusaṃhāra, (V.R. Nerurkar, Bombay, 1916).
Rāj. P.	Rājapraśasti.
Rāj. T.	Rājataraṅgiṇī.
Rām.	Rāmāyaṇa, (Nirṇaya Sāgara, 1888).
Rām. ch.	Rāmacaritam by Yuvarāja Kavi.
Ras. M.	Rasamañjarī.
Ratn.	Ratnāvalī, (Padhye, Yande, Manerikar & Co. Bombay, 1907).
Ṛs.	Ṛtusaṃhāra.
Rv.	Ṛgveda, (Pandita Satawalekar and V. S. Mandala, Poona).
Rv. Pr.	Ṛgveda Prātiśākhya.
Ś.	Śakuntalam, (Shiralkar & Co. Poona, 1902).
Ś. B.	Śārīrabhāṣya.
S. D.	Sāhityadarpaṇa.
S. L.	Sudhālaharī (Published in the Kāvyamālā).
Ś. Til.	Śṛṅgāratilaka.
Śabda Ch.	Śabdacintāmaṇi (Sanskṛt-Gujrati Dictionary by Ramanabhai Nilkanth, 1899).
Śabdak.	Śabdakalpadruma.
Śāhendra.	Śāhendravilāsa, edited by Dr. Raghavan.
Śālihotra	Śālihotra of Bhoja, edited by Dr. E. D. Kulkarni.
Sāṅ. K.	Sāṅkhyakārikā.
Sāṅ. S.	Sāṅkhyasūtra.
Sāṅkhya. K.	Sāṅkhyakārikā.
Śānti.	Śāntiśataka.
Sar. K.	Sarasvatīkaṇṭhābharaṇa.
Sar. S.	Sarvadarśanasaṃgraha.
Śāraṅg. S.	Śāraṅgadhara Saṃhitā
Sarva. S.	Sarvadarśanasaṃgraha.
Śat. Br.	Śatapatha Brāhmaṇa.
Sāy.	Sāyaṇa.
ŚB. on MS.	Śābarabhāṣya on Mīmāṃsā Sūtras.
Śi.	Śiśupālavadha, (Nirṇaya Sāgara, 1902).
Sid. Mukt.	Siddhāntamuktāvalī.
Śik.	Śikṣā.
Śik. s.	Śikṣā-Saṃgraha.
Sinhās.	Siṃhāsana-dvātriṃśikā.
Sīr. Pv.	Sīrdevaʼs Paribhāṣāvṛtti.
Śiva B.	Śivabhārata by Paramānanda.
Śiva P.	Śiva Purāṇa.
Sk.	Siddhānta-Kaumudī.
Skanda P.	Skanda Purāṇa.
Śrut.	Śrutabodha.
Śs.	Śrauta-sūtra.
Subh.	Subhāṣitaratnākara, (Bombay).
Subh. Ratn.	Subhāṣitaratnabhāṇḍāgāra, (Bombay).
Subhāṣ.	Subhāṣita.
Śukra.	Śukranīti, (रा. गो. शास्त्री, अलीबाग छापखाना).
Sūkti.	Sūktisundara.
Sūrya S.	Sūryasiddhānta.
Suśr.	Suśruta.
Sv.	Sāmaveda.
Svapna.	Svapnavāsavadatta.
Śvet. Up.	Śvetāśvataropaniṣad.
T. Ār.	Taittirīya Āraṇyaka.
T. Br.	Taittirīya Brāhmaṇa.
T. S.	Tarkasaṃgraha, (Bombay).
T. Up.	Taittirīya Upaniṣad.
Taitt. Sam.	Taittirīya Saṃhitā.
Tarka K.	Tarkakaumudī, (Bombay).
Tp.	Taittirīya Prātiśākhya.
Trik.	Trikāṇḍaśeṣa.
Ts.	Taittirīya Saṃhitā.
Tv.	Tārānāthaʼs Vācaspatyam.
U.	Uttararāmacarita, (P. V. Kane, Bombay, 1915).
Ud. D.	Uddhavadūta.
Ud. S.	Uddhavasandeśa.
Udb.	Udbhaṭa.
Ujjval.	Ujjvaladatta.
Uṇ.	Uṇādisūtras (N. B. New references from the letter प in this edition are taken from the work edited by T. R. Chintamani, University of Madras Publication, 1933.)
Up.	Upaniṣad.
V.	Vikramorvaśīyam, (R. D. Karmarkar, 1932).
V. May.	Vyavahāramayūkha, (Mr. Mandalikʼs Edition).
V. P.	Viṣṇu Purāṇa.
V. Ratna.	Vṛttaratnākara.
V. Sah.	Viṣṇusahasranāma.
Vāgb.	Vāgbhaṭa.
Vai. Bhū. (वै˚ भू˚).	Vaiyākaraṇabhūṣaṇasāra.
Vaiś.	Vaiśeṣika.
Vaiś. Sūt.	Vaiśeṣikasūtras.
Vāj.	Vājasaneyi Saṃhitā, (मनोहर ग्रंथमाला, पुणें , १९४२).
Vāk. P.	Vākyapadīya.
Vall. Subh.	Vallabhadevaʼs Subhāṣitāvali, (Bombay).
Vās.	Vāsavadattā, (Nirṇaya Sāgara, 1940).
Vātsy.	Vātsyāyana Kāmasūtra.
