Ait. Br.	Aitareya Brāhmaṇa (Bombay).
Ud. S.	Uddhavasaṃdeśa.
Ujjval.	Ujjvaladatta.
Uṇ.	Uṇādisūtras.
Up.	Upaniṣad.
Upan.	Upaniṣad.
V.	Vikramorvaśīyam (Bombay).
Vāgb.	Vāgbhaṭa.
Vaiś.	Vaiśeṣika.
Vaiś. Sūt.	Vaiśeṣikasūtras.
Vāj.	Vājasaneyi Saṃhitā.
Vāk. P.	Vākyapadīya.
Vall. Subh.	Vallabhadeva’s Subhāṣitāvali (Bombay)
Vās.	Vāsavadattā (Hall’s Edition).
Vb.	Viddhaśālabhañjikā (Bombay).
Ve.	Veṇīsaṃhāra.
Vedānta P.	Vedāntaparibhāṣā.
Vet.	Vetālapañca vimśati.
Vid.	Vidagdhamukhamaṇḍana.
Vikr.	Vikramāṅkadevacarita (Bombay).
Vīr. M.	Vīramitrodaya.
V. May.	Vyavahāramayūkha (Mr. Mandlik’s Edition).
Vop.	Vopadeva.
Bop.	Vopadeva.
V. P.	Viṣṇu Purāṇa.
V. Ratn.	Vṛttaratnākara.
Vṛnd. Ś.	Vṛndāvanaśataka.
V. Sah.	Viṣṇusahasranāman.
Y.	Yājñavalkya (Mr. Mandlik’s Edition).
Yoga S.	Yogasūtras.
Yv.	Yajurveda.
Yaj.	Yajurveda.
