d.	<id>d.</id> <disp>datif</disp>
dém.	<id>dém.</id> <disp>démonstratif</disp>
dén.	<id>dén.</id> <disp>(verbe) dénominatif/issu d’un nom</disp>
dénom.	<id>dénom.</id> <disp>(verbe) dénominatif/issu d’un nom</disp>
dés.	<id>dés.</id> <disp>désidératif</disp>
Dés.	<id>Dés.</id> <disp>désidératif</disp>
du.	<id>du.</id> <disp>duel</disp>
ép.	<id>ép.</id> <disp>épithète</disp>
Ép.	<id>Ép.</id> <disp>épithète</disp>
esp.	<id>esp.</id> <disp>espèce</disp>
Esp.	<id>Esp.</id> <disp>Espèce</disp>
etc.	<id>etc.</id> <disp>et cetera : « et le reste »</disp>
ex.	<id>ex.</id> <disp>exemple</disp>
ext.	<id>ext.</id> <disp>extension</disp>
f.	<id>f.</id> <disp>féminin</disp>
F.	<id>F.</id> <disp>Féminin</disp>
fig.	<id>fig.</id> <disp>figuré</disp>
fr.	<id>fr.</id> <disp>français</disp>
f1.	<id>f1.</id> <disp>futur 1er</disp>
f2.	<id>f2.</id> <disp>futur 2d</disp>
gal.	<id>gal.</id> <disp>gaëlique</disp>
g.	<id>g.</id> <disp>génitif</disp>
G.	<id>G.</id> <disp>Génitif</disp>
gén.	<id>gén.</id> <disp>général</disp>
gér.	<id>gér.</id> <disp>gérondif</disp>
germ.	<id>germ.</id> <disp>germanique</disp>
Germ.	<id>Germ.</id> <disp>germanique</disp>
got.	<id>got.</id> <disp>gothique</disp>
goth.	<id>goth.</id> <disp>gothique</disp>
Goth.	<id>Goth.</id> <disp>gothique</disp>
gr.	<id>gr.</id> <disp>grec</disp>
Gr.	<id>Gr.</id> <disp>Grec</disp>
impf.	<id>impf.</id> <disp>imparfait</disp>
imp.	<id>imp.</id> <disp>impératif</disp>
ind.	<id>ind.</id> <disp>indicatif</disp>
indéc.	<id>indéc.</id> <disp>indéclinable</disp>
indécl.	<id>indécl.</id> <disp>indéclinable</disp>
inf.	<id>inf.</id> <disp>infinitif</disp>
interj.	<id>interj.</id> <disp>interjection</disp>
i.	<id>i.</id> <disp>instrumental</disp>
inus.	<id>inus.</id> <disp>inusité</disp>
