Ait. Br.	Aitareya Brāhmaṇa.
Kām. Nītis.	Kāmandakīya Nītisāra, in Bibliotheca Indica.
Kāmand. Nītis.	Kāmandakīya Nītisāra, in Bibliotheca Indica.
Kātyāyana S.	Kātyāyana Śrauta Sūtra.
Kāvya Prak.	Kāvya Prakaśa, 2. ed. Calcutta, 1865.
Kāśīkh.	Kāśīkhaṇḍa (part of Skanda-Purāṇa).
Kūmar.	Kumārasaṃbhava, ed. Stenzler.
Lalit.	Lalitavistara, in Bibliotheca Indica.
Lass.	Lassen, Anthologia Sanskritica.
Lass. Anth.	Lassen, Anthologia Sanskritica.
Lass. Pentap.	Lassen, Commentatio de Pentapotamia Indica.
Lenz. App. cr.	Lenz, Appendix critica.
M.	Manu (Mānavadharmaśāstra).
M. Müller, Anc. Sskr. Lit.	Max Müller, Ancient Sanskrit Literature.
MBh.	Mahābhārata, ed. Calc.
Mah.	Mahābhārata.
Mahāv.	Mahāvīracarita, ed. Trithen.
Mahāvīr.	Mahāvīracarita, ed. Trithen.
Mahāvīrac.	Mahāvīracarita, ed. Trithen.
Mallin.	Mallinātha (commentator of Kirātārjunīya etc.).
Man.	Mānavadharmaśāstra, ed. Haughton and Lois. (i. e. Loiseleur Deslongchamps). Where there is a numeral in brackets, it denotes the verse of Jones’ translation.
Mark. P.	Mārkaṇḍeya-Purāṇa.
Matsyop.	Matsyopākhyāna, an episode of the MBh., ed. Bopp.
Megh.	Meghadūta, ed. Gildemeister.
Mit.	Mitākṣarā, ed. Calc., 1829.
Monatsb. Berl. Ak. Hist. Phil.	Monatsberichte der Berliner Akademie, Historisch-Philologische Klasse.
Monatsb. d. Berl. Ak. Hist. Phil.	Monatsberichte der Berliner Akademie, Historisch-Philologische Klasse.
Monatsb. d. Berl. Ak. d. Wiss.	Monatsberichte der Berliner Akademie der Wissenschaften (Monthly Reports of the Berlin Academy of Sciences).
Monatsber. Berl. Ak. Hist. Phil.	Monatsberichte der Berliner Akademie, Historisch-Philologische Klasse.
Monatsber. der Berliner Ak. Hist. Phil.	Monatsberichte der Berliner Akademie, Historisch-Philologische Klasse.
Mricch.	Mṛcchakaṭikā, ed. Stenzler.
Mudrār.	Mudrārākṣasa, ed. Calc.
Mém. sur les Contrées Occident., par Hiouen Thsang.	Mémoire sur les Contrées Occidentales, par Hiouen Thsang (Xuanzang's memoirs).
Māl.	Mālatīmādhava, ed. Calcutta.
Mālat.	Mālatīmādhava, ed. Calc.
Mālatīm.	Mālatīmādhava, ed. Calcutta.
Mālav.	Mālavikāgnimitra, ed. Tullberg.
Mān.	Mānava(-dharmaśāstra).
Mārk. P.	Mārkaṇḍeya-Purāṇa, in Bibliotheca Indica.
Mṛcch.	Mṛcchakaṭikā, ed. Stenzler.
Naiṣ.	Naiṣadhacarita, ed. Calc.
Nal.	Nala, an episode of the MBh. ed. Bopp.; a numeral in brackets denotes Böhtlingk’s ed. in his Chrestomathy.
Nalod.	Nalodaya, ed. Benary.
Navar.	Navarātra, an episode or text.
Nyāya S.	Nyāya-Sūtrāṇi of Gotama, ed. Calc.
Padmap.	Padma-Purāṇa, ed. Wollheim.
Pañc.	Pañcatantra, ed. Kosegarten; the numerals are used on the same system as in Hit. When there is added ‘ed. orn.,’ it denotes the fragment of the recensioornatior, published by Kosegarten.
Pañc. pr.	Pañcatantra, prologue.
Prab.	Prabodhacandrodaya, ed. Brockhaus.
Prātiś.	Prātiśākhya.
Pānch.	Pañcatantra.
Pārask.	Pāraskara Gṛhya Sūtra.
Pāraskara Gṛ. S.	Pāraskara Gṛhya Sūtra.
Pāṇ.	Pāṇini, ed. Böhtlingk.
R.	Rāmāyaṇa.
Ragh.	Raghuvaṃśa, ed. Stenzler.
Ratnāv.	Ratnāvalī, 2. ed. Calc.
Rigv.	Rigveda.
Rāgh.	Rāghavānanda, Sch. ad Man.
Rājat.	Rājataraṅgiṇī, ed. Troyer, the fifth book in my Chrestomathy.
Rām.	Rāmāyaṇa, the two first books after the ed. of Schlegel; when that of Gorresio is meant, there is added Gorr.; the remaining books after Gorresio’s.
Rāmatap. Up.	Rāmatāpanīya Upaniṣad.
Schl.	Friedrich Schlegel, German Romantic philosopher and linguist
Siddh. K.	Siddhāntakaumudi, ed. Calc., 4to.
Siddh. Mukt.	Siddhānta Muktāvali, ed. Roër in Bibl. Ind.
Skanda P., Kāśīkh.	Skanda-Purāṇa, Kāśīkhaṇḍa.
Skandap., Kāśīkh.	Skanda-Purāṇa, Kāśīkhaṇḍa.
Somad. Nal.	Somadeva's Nala, published by Brockhaus.
Spec. of the Theatre of the Hind.	Wilson, Specimens of the Theatre of the Hindus.
Stenzler	Stenzler (Indologist, editor of several Sanskrit texts).
Sund.	Sundopasundopākhyāna, an episode of the MBh., ed. Bopp.
Suśr.	Suśruta, ed. Calc.; the first numeral denotes the vol., the second the page, the third the line.
Sāh. D.	Sāhitya Darpaṇa, in Bibliotheca Indica.
Sāh. Darp.	Sāhitya Darpaṇa, in Bibliotheca Indica.
Sāhitya Darp.	Sāhitya Darpaṇa.
Sāv.	Sāvitryupākhyāna, an episode of the MBh., ed. Bopp.
Sāṅkhya Aph.	Sāṅkhya Sūtras, in Hall’s ed. of Saṅkhya Pravacana Bhāṣya in Bibl. Ind.
Sāṅkhyak.	Sāṅkhya(kārikā).
Sūryas.	Sūryasiddhānta.
Tarkasaṃgr.	Tarkasaṃgraha.
Tattvas.	Tattvasamāsa.
Th. of the Hind.	Wilson, Theatre of the Hindus.
Trans. of the R.A.S.	Transactions of the Royal Asiatic Society.
Ujjvalad.	Ujjvaladatta, ed. Aufrecht.
Upak.	Upakośa, an episode of the Kathās., ed. Brockhaus.
Utt. Rāmac.	Uttara Rāmacarita, 2. ed. Calc., 1862.
Uttararāmac.	Uttara Rāmacarita, 2. ed. Calcutta, 1862.
VP.	Viṣṇu Purāṇa.
VS.	Vājasaneyi Saṃhitā.
Varāh. Bṛh.	Varāhamihira’s Bṛhajjātaka.
